external_id,action,record_status,publish_status,region_slug,route_slugs,route_role,actor_kind,category_slug,subcategory,public_name,legal_name,short_description,full_description,services,street,address_number,address_extra,neighborhood,city,state,postal_code,country_code,latitude,longitude,phone_e164,whatsapp_e164,email,website_url,instagram_url,opening_hours_text,payment_methods,accessibility_text,languages,image_url,image_alt,image_credit,source_type,source_reference,verification_status,verified_at,verified_by,public_contact_authorized,media_authorized,partnership_type,admin_notes
inventory:pindobal:1,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,servico_publico,cidadania,Conselho Tutelar - II,,Servico publico em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Tv. Marupã, 496 - Maracanã - CEP: 68035-430",,,,Santarém,PA,68035430,BR,-2.44225,-54.742556,,,,,,8h às 18h,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 31,unverified,,,false,false,none,id_operacional=1; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 31; categoria_original=cidadania; dist_rota_m=197.7; km_rota=1.933; segmento_rota=55; telefone_original=190
inventory:pindobal:2,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,servico_publico,cidadania,Conselho Tutelar - III,,Servico publico em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Rua Pedro Teixeira, 124 - Centro - Alter do Chão",,,,Santarém,PA,,BR,-2.507056,-54.953556,,,,,,8h às 19h,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 31,unverified,,,false,false,none,id_operacional=2; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 31; categoria_original=cidadania; dist_rota_m=318.5; km_rota=33.988; segmento_rota=667; telefone_original=190
inventory:pindobal:3,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,mercado,mercado,Atacadão,,Mercado em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Av. Eng. Fernando Guilhon, s/n - Santarenzinho - CEP: 68035-000",,,,Santarém,PA,68035000,BR,-2.447056,-54.749778,,,,,,7h às 21h (segunda a sábado) / 8h às14h ( domingo),"Dinheiro, cartão de crédito, débito, ticket refeição e alimentação",,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 34,unverified,,,false,false,none,id_operacional=3; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 34; categoria_original=mercado; dist_rota_m=6.7; km_rota=2.88; segmento_rota=82
inventory:pindobal:4,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,mercado,mercado,Supermercado Gaúchinho,,Mercado em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Rua Resistência, 294 – Conquista - CEP: 68035-050",,,,Santarém,PA,68035050,BR,-2.448472,-54.752694,,,,,,8h às 20h30h (segunda à domingo),"Dinheiro, cartão de crédito, débito, ticket refeição e alimentação",,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 34,unverified,,,false,false,none,id_operacional=4; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 34; categoria_original=mercado; dist_rota_m=16.1; km_rota=3.243; segmento_rota=96
inventory:pindobal:5,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,artesanato,artesanato,Araribá Indígena,,Artesanato em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"artigos indígenas, cestaria, máscaras, CDs, artesanato em borracha, crochê, instru","Rua Dom Macedo Costa, s/n - Centro - CEP: 68060-050",,,,Santarém,PA,68060050,BR,-2.504136,-54.952544,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 36,unverified,,,false,false,none,id_operacional=5; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 36; categoria_original=artesanato; dist_rota_m=378.6; km_rota=33.27; segmento_rota=656
inventory:pindobal:6,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,artesanato,artesanato,Araribá Tropical,,Artesanato em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"moda praia, bijuterias, pedra semipreciosa, sandálias, camisas, bolsas, fibra de buriti, cerâmica","Tv. Antônio Agostino Lobato, s/n - Centro - CEP: 68019-000",,,,Santarém,PA,68019000,BR,-2.503046,-54.952359,,,contato@araribah.com.br,https://www.araribah.com.br,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 36,unverified,,,false,false,none,id_operacional=6; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 36; categoria_original=artesanato; dist_rota_m=470.6; km_rota=33.27; segmento_rota=656
inventory:pindobal:7,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,artesanato,artesanato,Art Grupo Lago Verde,,Artesanato em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"Artesanato, doces e licores, artesanato para decoração, plantas ornamentais, chapéus, vestuário e artesanato de crochê, madeira, sementes, palhas, cuias, cerâmicas.","Rua Turiano Meira, s/n - Centro - CEP: 68060-040",,,,Santarém,PA,68060040,BR,-2.50266,-54.952745,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 36,unverified,,,false,false,none,id_operacional=7; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 36; categoria_original=artesanato; dist_rota_m=528.5; km_rota=33.27; segmento_rota=656
inventory:pindobal:8,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,artesanato,artesanato,Borari Art’s,,Artesanato em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"Moda praia, artesanato de madeira, semente, palha, cuia e cerâmica","Rua Turiano Meira, 65 - Centro - CEP: 68109-000",,,,Santarém,PA,68109000,BR,-2.503507,-54.952328,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 36,unverified,,,false,false,none,id_operacional=8; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 36; categoria_original=artesanato; dist_rota_m=423.7; km_rota=33.27; segmento_rota=656
inventory:pindobal:9,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,artesanato,artesanato,Praça do Sairé,,Artesanato em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"moda praia. Artesanato de madeira, sementes, palha e cuias",Praça 7 de setembro – Centro - CEP: 68109-000,,,,Santarém,PA,68109000,BR,-2.508199,-54.956485,,,airef@gmail.com,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 36,unverified,,,false,false,none,id_operacional=9; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 36; categoria_original=artesanato; dist_rota_m=223.0; km_rota=34.143; segmento_rota=668
inventory:pindobal:10,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,artesanato,artesanato,Flor de Rio,,Artesanato em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"artesanato de madeira, sementes, palha, moda praia, resina, couro de carneiro, couro ecológico (látex)","Rua Lauro Sodré, 492 – Centro - CEP: 68060-030",,,,Santarém,PA,68060030,BR,-2.503139,-54.952861,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 36,unverified,,,false,false,none,id_operacional=10; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 36; categoria_original=artesanato; dist_rota_m=489.4; km_rota=33.27; segmento_rota=656
