prioridade,codigo,external_id,titulo,fonte,referencia_fonte,campo,valor_atual,acao_recomendada
alta,contact_authorization_required,inventory:pindobal:1,Conselho Tutelar - II,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 31,contatos,190,Registrar autorização antes de tornar qualquer contato público.
alta,phone_not_normalized,inventory:pindobal:1,Conselho Tutelar - II,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 31,telefone,190,Corrigir manualmente; o valor não pôde ser convertido com segurança para E.164.
alta,contact_authorization_required,inventory:pindobal:2,Conselho Tutelar - III,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 31,contatos,190,Registrar autorização antes de tornar qualquer contato público.
alta,phone_not_normalized,inventory:pindobal:2,Conselho Tutelar - III,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 31,telefone,190,Corrigir manualmente; o valor não pôde ser convertido com segurança para E.164.
média,missing_contact,inventory:pindobal:3,Atacadão,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 34,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:4,Supermercado Gaúchinho,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 34,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:5,Araribá Indígena,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 36,contatos,,Confirmar ao menos um canal público autorizado.
alta,contact_authorization_required,inventory:pindobal:6,Araribá Tropical,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 36,contatos,contato@araribah.com.br,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:6,Araribá Tropical,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 36,site,www.araribah.com.br,Confirmar a URL normalizada: https://www.araribah.com.br
média,missing_contact,inventory:pindobal:7,Art Grupo Lago Verde,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 36,contatos,,Confirmar ao menos um canal público autorizado.
