pagina,categoria,titulo,coordenadas_geograficas,endereco,local,telefone,email,instagram,site,funcionamento,servicos_instalacoes,forma_pagamento,contingente,projetos_sociais,observacoes_criticas,observacoes,texto_bruto,forma_de_acesso,id,latitude,longitude,status_coord,categoria_normalizada,categoria_id,dist_rota_m,km_rota,segmento_rota,ponto_projetado_rota
31,cidadania,Conselho Tutelar - II,"-2.442250, -54.742556","Tv. Marupã, 496 - Maracanã - CEP: 68035-430",Santarém/PA,190,,,,8h às 18h,,,,,,,"Conselho Tutelar - II Coordenadas Geográficas: -2°26’32.1” / -54°44’33.2” Endereço: Tv. Marupã, 496 - Maracanã - CEP: 68035-430 Telefone: 190 Funcionamento: 8h às 18h",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,1,-2.44225,-54.742556,ok,servico publico,servico_publico,197.7,1.933,55,"[-54.7418718, -2.4438908]"
31,cidadania,Conselho Tutelar - III,"-2.507056, -54.953556","Rua Pedro Teixeira, 124 - Centro - Alter do Chão",Vila de Alter do Chão — Santarém/PA,190,,,,8h às 19h,,,,,,,"Conselho Tutelar - III Coordenadas Geográficas: -2°30’25.4” / -54°57’12.8” Endereço: Rua Pedro Teixeira, 124 - Centro - Alter do Chão Telefone: 190 Funcionamento: 8h às 19h",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,2,-2.507056,-54.953556,ok,servico publico,servico_publico,318.5,33.988,667,"[-54.9538424, -2.5099063]"
34,mercado,Atacadão,"-2.447056, -54.749778","Av. Eng. Fernando Guilhon, s/n - Santarenzinho - CEP: 68035-000",Santarém/PA,,,,,7h às 21h (segunda a sábado) / 8h às14h ( domingo),,"Dinheiro, cartão de crédito, débito, ticket refeição e alimentação",,,,,"Atacadão Coordenadas Geográficas: -2°26’49.4” / -54°44’59.2”116 Endereço: Av. Eng. Fernando Guilhon, s/n - Santarenzinho - CEP: 68035-000 Funcionamento: 7h às 21h (segunda a sábado) / 8h às14h ( domingo) Forma de Pagamento: Dinheiro, cartão de crédito, débito, ticket refeição e alimentação",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,3,-2.447056,-54.749778,ok,mercado,mercado,6.7,2.88,82,"[-54.7497547, -2.4471111]"
34,mercado,Supermercado Gaúchinho,"-2.448472, -54.752694","Rua Resistência, 294 – Conquista - CEP: 68035-050",Santarém/PA,,,,,8h às 20h30h (segunda à domingo),,"Dinheiro, cartão de crédito, débito, ticket refeição e alimentação",,,,,"Supermercado Gaúchinho Coordenadas Geográficas: -2°26’54.5” / -54°45’09.7” Endereço: Rua Resistência, 294 – Conquista - CEP: 68035-050 Funcionamento: 8h às 20h30h (segunda à domingo) Forma de Pagamento: Dinheiro, cartão de crédito, débito, ticket refeição e alimentação",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,4,-2.448472,-54.752694,ok,mercado,mercado,16.1,3.243,96,"[-54.7527496, -2.4483381]"
36,artesanato,Araribá Indígena,"-2.504136, -54.952544","Rua Dom Macedo Costa, s/n - Centro - CEP: 68060-050",Vila de Alter do Chão — Santarém/PA,,,,,,"artigos indígenas, cestaria, máscaras, CDs, artesanato em borracha, crochê, instru",,,,,,"Araribá Indígena Endereço: Rua Dom Macedo Costa, s/n - Centro - CEP: 68060-050 Produtos: artigos indígenas, cestaria, máscaras, CDs, artesanato em borracha, crochê, instru-",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,5,-2.504136,-54.952544,ok,artesanato,artesanato,378.6,33.27,656,"[-54.950456, -2.506827]"
36,artesanato,Araribá Tropical,"-2.503046, -54.952359","Tv. Antônio Agostino Lobato, s/n - Centro - CEP: 68019-000",Vila de Alter do Chão — Santarém/PA,,contato@araribah.com.br,,www.araribah.com.br,,"moda praia, bijuterias, pedra semipreciosa, sandálias, camisas, bolsas, fibra de buriti, cerâmica",,,,,,"Araribá Tropical Endereço: Tv. Antônio Agostino Lobato, s/n - Centro - CEP: 68019-000 E-mail: contato@araribah.com.br - Site: www.araribah.com.br Produtos: moda praia, bijuterias, pedra semipreciosa, sandálias, camisas, bolsas, fibra de buriti, cerâmica",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,6,-2.503046,-54.952359,ok,artesanato,artesanato,470.6,33.27,656,"[-54.950456, -2.506827]"
36,artesanato,Art Grupo Lago Verde,"-2.502660, -54.952745","Rua Turiano Meira, s/n - Centro - CEP: 68060-040",Vila de Alter do Chão — Santarém/PA,,,,,,"Artesanato, doces e licores, artesanato para decoração, plantas ornamentais, chapéus, vestuário e artesanato de crochê, madeira, sementes, palhas, cuias, cerâmicas.",,,,,,"Art Grupo Lago Verde Endereço: Rua Turiano Meira, s/n - Centro - CEP: 68060-040 Produtos: Artesanato, doces e licores, artesanato para decoração, plantas ornamentais, chapéus, vestuário e artesanato de crochê, madeira, sementes, palhas, cuias, cerâmicas.",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,7,-2.50266,-54.952745,ok,artesanato,artesanato,528.5,33.27,656,"[-54.950456, -2.506827]"
36,artesanato,Borari Art’s,"-2.503507, -54.952328","Rua Turiano Meira, 65 - Centro - CEP: 68109-000",Vila de Alter do Chão — Santarém/PA,,,,,,"Moda praia, artesanato de madeira, semente, palha, cuia e cerâmica",,,,,,"Borari Art’s Endereço: Rua Turiano Meira, 65 - Centro - CEP: 68109-000 Produtos: Moda praia, artesanato de madeira, semente, palha, cuia e cerâmica",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,8,-2.503507,-54.952328,ok,artesanato,artesanato,423.7,33.27,656,"[-54.950456, -2.506827]"
36,artesanato,Praça do Sairé,"-2.508199, -54.956485",Praça 7 de setembro – Centro - CEP: 68109-000,Vila de Alter do Chão — Santarém/PA,,encantodoçairef@gmail.com,,,,"moda praia. Artesanato de madeira, sementes, palha e cuias",,,,,,"Encantos do Çairé Endereço: Praça 7 de setembro – Centro - CEP: 68109-000 Email: encantodoçairef@gmail.com Produtos: moda praia. Artesanato de madeira, sementes, palha e cuias",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,9,-2.508199,-54.956485,ok,artesanato,artesanato,223.0,34.143,668,"[-54.955232, -2.509766]"
36,artesanato,Flor de Rio,"-2.503139, -54.952861","Rua Lauro Sodré, 492 – Centro - CEP: 68060-030",Vila de Alter do Chão — Santarém/PA,,,,,,"artesanato de madeira, sementes, palha, moda praia, resina, couro de carneiro, couro ecológico (látex)",,,,,,"Flor de Rio Coordenadas Geográficas: -2º30’11.3” / -54º57’10.3” Endereço: Rua Lauro Sodré, 492 – Centro - CEP: 68060-030 Produtos: artesanato de madeira, sementes, palha, moda praia, resina, couro de carneiro, couro ecológico (látex)",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,10,-2.503139,-54.952861,ok,artesanato,artesanato,489.4,33.27,656,"[-54.950456, -2.506827]"
